Trial_ID,Probe,Target,Cate,Wlevel
62,cheek,chops,low,1
85,chest,loot,low,2
112,bib, porridge,med,4
29,bracelet,flea,ur,0
30,clown,cliff,ur,0
74,thermostat,mercury,low,1
102,wood,antler,med,3
8,javelin,kettle,ur,0
134,reed,marsh,med,5
81, dinner,dog,low,1
14,taxi,blossom,ur,0
15,kiwi,locker,ur,0
111,funeral,candle,med,4
178,rocket ,space,high,7
53,bandana,bamboo,ur,0
31,earphone,handwriting,ur,0
93,mud,harvester,low,2
155,menu,meal,high,6
21,canyon,elf,ur,0
151,cactus,desert,high,6
18,hanger,policeman,ur,0
166,hotel, guest,high,7
126,flask,gin,med,4
64,toilet,sponge,low,1
7,antelope,capsule,ur,0
95, childhood,marbles,low,2
75,stool,cocktail,low,1
163,tea,mug,high,7
159,cocktail,bar,high,7
16,wool,album,ur,0
143,antique,museum,high,6
175,web,spider,high,7
105,calculator,notebook,med,3
140,podium,gymnast,med,5
11,syrup,ankle,ur,0
123,mirror,lipstick,med,4
89,sink,filter,low,2
69,stork,roof,low,1
141,leopard,zoo,high,6
34,bell,lotus,ur,0
161,garden,flower,high,7
6,data,latin,ur,0
56,platform,toothpaste,ur,0
122,barn,rat,med,4
115,lobster, butter,med,4
